timestamp,value,rating
"12 Nov, 10:00 PM",9,PM2.5 µg/m³ - Tốt
"12 Nov, 11:00 PM",11,PM2.5 µg/m³ - Tốt
"13 Nov, 12:00 AM",9,PM2.5 µg/m³ - Tốt
"13 Nov, 1:00 AM",8,PM2.5 µg/m³ - Tốt
"13 Nov, 2:00 AM",11,PM2.5 µg/m³ - Tốt
"13 Nov, 3:00 AM",14.9,PM2.5 µg/m³ - Tốt
"13 Nov, 4:00 AM",17.9,PM2.5 µg/m³ - Tốt
"13 Nov, 5:00 AM",26.8,PM2.5 µg/m³ - Tốt
"13 Nov, 6:00 AM",32.7,PM2.5 µg/m³ - Tốt
"13 Nov, 7:00 AM",42.5,PM2.5 µg/m³ - Tốt
"13 Nov, 8:00 AM",60,PM2.5 µg/m³ - Trung bình
"13 Nov, 9:00 AM",39.6,PM2.5 µg/m³ - Tốt
"13 Nov, 10:00 AM",26.9,PM2.5 µg/m³ - Tốt
"13 Nov, 11:00 AM",17,PM2.5 µg/m³ - Tốt
"13 Nov, 12:00 PM",10,PM2.5 µg/m³ - Tốt
"13 Nov, 1:00 PM",8,PM2.5 µg/m³ - Tốt
"13 Nov, 2:00 PM",7,PM2.5 µg/m³ - Tốt
"13 Nov, 3:00 PM",8,PM2.5 µg/m³ - Tốt
"13 Nov, 4:00 PM",7,PM2.5 µg/m³ - Tốt
"13 Nov, 5:00 PM",11,PM2.5 µg/m³ - Tốt
"13 Nov, 6:00 PM",9,PM2.5 µg/m³ - Tốt
"13 Nov, 7:00 PM",10,PM2.5 µg/m³ - Tốt
"13 Nov, 8:00 PM",9,PM2.5 µg/m³ - Tốt
"13 Nov, 9:00 PM",8,PM2.5 µg/m³ - Tốt
"13 Nov, 10:00 PM",12,PM2.5 µg/m³ - Tốt
"13 Nov, 11:00 PM",12,PM2.5 µg/m³ - Tốt
"14 Nov, 12:00 AM",16,PM2.5 µg/m³ - Tốt
"14 Nov, 1:00 AM",18.9,PM2.5 µg/m³ - Tốt
"14 Nov, 2:00 AM",14,PM2.5 µg/m³ - Tốt
"14 Nov, 3:00 AM",24.9,PM2.5 µg/m³ - Tốt
"14 Nov, 4:00 AM",23.9,PM2.5 µg/m³ - Tốt
"14 Nov, 5:00 AM",15,PM2.5 µg/m³ - Tốt
"14 Nov, 6:00 AM",14,PM2.5 µg/m³ - Tốt
"14 Nov, 7:00 AM",18.9,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 AM",25.8,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 AM",27.8,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 AM",34.8,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 AM",40.7,PM2.5 µg/m³ - Tốt
"14 Nov, 12:00 PM",38.8,PM2.5 µg/m³ - Tốt
"14 Nov, 1:00 PM",35.8,PM2.5 µg/m³ - Tốt
"14 Nov, 2:00 PM",23.9,PM2.5 µg/m³ - Tốt
"14 Nov, 3:00 PM",16.9,PM2.5 µg/m³ - Tốt
"14 Nov, 4:00 PM",5,PM2.5 µg/m³ - Tốt
"14 Nov, 5:00 PM",8,PM2.5 µg/m³ - Tốt
"14 Nov, 6:00 PM",9,PM2.5 µg/m³ - Tốt
"14 Nov, 7:00 PM",10,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",11,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",20.9,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",22.9,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",27.8,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 AM",33.7,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 AM",54.2,PM2.5 µg/m³ - Trung bình
"15 Nov, 2:00 AM",40.6,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 AM",35.7,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 AM",27.8,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",17.9,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",33.7,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",49.3,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 AM",40.6,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",33.7,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",17,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",13,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",9,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 PM",7,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",7,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",9,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",12,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",16,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",16,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",16,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",23.9,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",16.9,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",20.9,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",18.9,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",15.9,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",15,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",19.9,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",23.8,PM2.5 µg/m³ - Tốt
"16 Nov, 7:00 AM",24.8,PM2.5 µg/m³ - Tốt
