timestamp,value,rating
"14 Nov, 7:00 PM",21.8,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",26.7,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",30.6,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",42.3,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",52.7,PM2.5 µg/m³ - Trung bình
"15 Nov, 12:00 AM",62.2,PM2.5 µg/m³ - Trung bình
"15 Nov, 1:00 AM",63.1,PM2.5 µg/m³ - Trung bình
"15 Nov, 2:00 AM",64.1,PM2.5 µg/m³ - Trung bình
"15 Nov, 3:00 AM",52.7,PM2.5 µg/m³ - Trung bình
"15 Nov, 4:00 AM",47.9,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",40.2,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",33.5,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",34.5,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 AM",31.6,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",29.7,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",22.9,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",16.9,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",6,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 PM",5,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",14,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",19.9,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",16.9,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",20.9,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",10,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",14,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",21.8,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",33.6,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",23.8,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",37.5,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",40.4,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",27.7,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",26.7,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",24.7,PM2.5 µg/m³ - Tốt
"16 Nov, 7:00 AM",28.6,PM2.5 µg/m³ - Tốt
"16 Nov, 8:00 AM",37.3,PM2.5 µg/m³ - Tốt
"16 Nov, 9:00 AM",25.7,PM2.5 µg/m³ - Tốt
"16 Nov, 10:00 AM",27.7,PM2.5 µg/m³ - Tốt
"16 Nov, 11:00 AM",26.8,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 PM",17.9,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 PM",10,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 PM",12,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 PM",11,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 PM",12,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 PM",20.9,PM2.5 µg/m³ - Tốt
