timestamp,value,rating
"14 Nov, 7:00 PM",15,PM2.5 µg/m³ - Tốt
"14 Nov, 8:00 PM",16,PM2.5 µg/m³ - Tốt
"14 Nov, 9:00 PM",31,PM2.5 µg/m³ - Tốt
"14 Nov, 10:00 PM",25,PM2.5 µg/m³ - Tốt
"14 Nov, 11:00 PM",44,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 AM",22,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 AM",48,PM2.5 µg/m³ - Tốt
"15 Nov, 2:00 AM",31,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 AM",25,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 AM",19,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 AM",38,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 AM",45,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 AM",37,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 AM",35,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 AM",23,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 AM",20,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 AM",23,PM2.5 µg/m³ - Tốt
"15 Nov, 12:00 PM",18,PM2.5 µg/m³ - Tốt
"15 Nov, 1:00 PM",18,PM2.5 µg/m³ - Tốt
"15 Nov, 3:00 PM",11,PM2.5 µg/m³ - Tốt
"15 Nov, 4:00 PM",17,PM2.5 µg/m³ - Tốt
"15 Nov, 5:00 PM",13,PM2.5 µg/m³ - Tốt
"15 Nov, 6:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 7:00 PM",15,PM2.5 µg/m³ - Tốt
"15 Nov, 8:00 PM",23,PM2.5 µg/m³ - Tốt
"15 Nov, 9:00 PM",28,PM2.5 µg/m³ - Tốt
"15 Nov, 10:00 PM",21,PM2.5 µg/m³ - Tốt
"15 Nov, 11:00 PM",22,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 AM",31,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 AM",18,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 AM",28,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 AM",27,PM2.5 µg/m³ - Tốt
"16 Nov, 4:00 AM",37,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 AM",41,PM2.5 µg/m³ - Tốt
"16 Nov, 6:00 AM",46,PM2.5 µg/m³ - Tốt
"16 Nov, 7:00 AM",37,PM2.5 µg/m³ - Tốt
"16 Nov, 8:00 AM",34,PM2.5 µg/m³ - Tốt
"16 Nov, 9:00 AM",48,PM2.5 µg/m³ - Tốt
"16 Nov, 10:00 AM",22,PM2.5 µg/m³ - Tốt
"16 Nov, 11:00 AM",20,PM2.5 µg/m³ - Tốt
"16 Nov, 12:00 PM",19,PM2.5 µg/m³ - Tốt
"16 Nov, 1:00 PM",19,PM2.5 µg/m³ - Tốt
"16 Nov, 2:00 PM",26,PM2.5 µg/m³ - Tốt
"16 Nov, 3:00 PM",14,PM2.5 µg/m³ - Tốt
"16 Nov, 5:00 PM",5,PM2.5 µg/m³ - Tốt
